is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,agent,company,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,hotel_Resort Hotel,meal_FB,meal_HB,meal_SC,meal_Undefined,customer_type_Group,customer_type_Transient,customer_type_Transient-Party,deposit_type_Non Refund,deposit_type_Refundable,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,market_segment_Undefined
0,342,2015,July,27,1,0,0,2,0,0,PRT,Direct,0,0,0,C,C,3,0.0,0.0,0,0.0,0,0,Check-Out,2015-07-01,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,737,2015,July,27,1,0,0,2,0,0,PRT,Direct,0,0,0,C,C,4,0.0,0.0,0,0.0,0,0,Check-Out,2015-07-01,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,7,2015,July,27,1,0,1,1,0,0,GBR,Direct,0,0,0,A,C,0,0.0,0.0,0,75.0,0,0,Check-Out,2015-07-02,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,13,2015,July,27,1,0,1,1,0,0,GBR,Corporate,0,0,0,A,A,0,304.0,0.0,0,75.0,0,0,Check-Out,2015-07-02,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,14,2015,July,27,1,0,2,2,0,0,GBR,TA/TO,0,0,0,A,A,0,240.0,0.0,0,98.0,0,1,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,0,2015,July,27,1,0,2,2,0,0,PRT,Direct,0,0,0,C,C,0,0.0,0.0,0,107.0,0,0,Check-Out,2015-07-03,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,9,2015,July,27,1,0,2,2,0,0,PRT,Direct,0,0,0,C,C,0,303.0,0.0,0,103.0,0,1,Check-Out,2015-07-03,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1,85,2015,July,27,1,0,3,2,0,0,PRT,TA/TO,0,0,0,A,A,0,240.0,0.0,0,82.0,0,1,Canceled,2015-05-06,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
1,75,2015,July,27,1,0,3,2,0,0,PRT,TA/TO,0,0,0,D,D,0,15.0,0.0,0,105.5,0,0,Canceled,2015-04-22,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1,23,2015,July,27,1,0,4,2,0,0,PRT,TA/TO,0,0,0,E,E,0,240.0,0.0,0,123.0,0,0,Canceled,2015-06-23,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
